key,uuid,kind,indicator_label,code,unit,module,scenario,value,value_per_declared_unit
cement_avg_D,d368f4bb-ae22-4e33-b9e4-22a7b27966c6,exchange,Renewable primary energy as energy carrier (PERE),PERE,MJ,A1-A3,,511.0,0.511
cement_avg_D,d368f4bb-ae22-4e33-b9e4-22a7b27966c6,exchange,Renewable primary energy resources as material utilization (PERM),PERM,MJ,A1-A3,,0.0,0.0
cement_avg_D,d368f4bb-ae22-4e33-b9e4-22a7b27966c6,exchange,Total use of renewable primary energy resources (PERT),PERT,MJ,A1-A3,,511.0,0.511
cement_avg_D,d368f4bb-ae22-4e33-b9e4-22a7b27966c6,exchange,Non renewable primary energy as energy carrier (PENRE),PENRE,MJ,A1-A3,,1890.0,1.89
cement_avg_D,d368f4bb-ae22-4e33-b9e4-22a7b27966c6,exchange,Non renewable primary energy as material utilization (PENRM),PENRM,MJ,A1-A3,,0.0,0.0
cement_avg_D,d368f4bb-ae22-4e33-b9e4-22a7b27966c6,exchange,Total use of non renewable primary energy resources (PENRT),PENRT,MJ,A1-A3,,1890.0,1.89
cement_avg_D,d368f4bb-ae22-4e33-b9e4-22a7b27966c6,exchange,Use of secondary material (SM),SM,kg,A1-A3,,12.9,0.0129
cement_avg_D,d368f4bb-ae22-4e33-b9e4-22a7b27966c6,exchange,Use of renewable secondary fuels (RSF),RSF,MJ,A1-A3,,558.0,0.558
cement_avg_D,d368f4bb-ae22-4e33-b9e4-22a7b27966c6,exchange,Use of non renewable secondary fuels (NRSF),NRSF,MJ,A1-A3,,1313.0,1.313
cement_avg_D,d368f4bb-ae22-4e33-b9e4-22a7b27966c6,exchange,Use of net fresh water (FW),FW,m^3,A1-A3,,1.4,0.0014
cement_avg_D,d368f4bb-ae22-4e33-b9e4-22a7b27966c6,exchange,Hazardous waste disposed (HWD),HWD,kg,A1-A3,,0.000105,1.05e-07
cement_avg_D,d368f4bb-ae22-4e33-b9e4-22a7b27966c6,exchange,Non hazardous waste disposed (NHWD),NHWD,kg,A1-A3,,2.36,0.0023599999999999997
cement_avg_D,d368f4bb-ae22-4e33-b9e4-22a7b27966c6,exchange,Radioactive waste disposed (RWD),RWD,kg,A1-A3,,0.0641,6.41e-05
cement_avg_D,d368f4bb-ae22-4e33-b9e4-22a7b27966c6,exchange,Components for re-use (CRU),CRU,kg,A1-A3,,0.0,0.0
cement_avg_D,d368f4bb-ae22-4e33-b9e4-22a7b27966c6,exchange,Materials for recycling (MFR),MFR,kg,A1-A3,,0.0,0.0
cement_avg_D,d368f4bb-ae22-4e33-b9e4-22a7b27966c6,exchange,Materials for energy recovery (MER),MER,kg,A1-A3,,0.0,0.0
cement_avg_D,d368f4bb-ae22-4e33-b9e4-22a7b27966c6,exchange,Exported electrical energy (EEE),EEE,MJ,A1-A3,,0.0,0.0
cement_avg_D,d368f4bb-ae22-4e33-b9e4-22a7b27966c6,exchange,Exported thermal energy (EET),EET,MJ,A1-A3,,0.0,0.0
cement_avg_D,d368f4bb-ae22-4e33-b9e4-22a7b27966c6,lcia,Global Warming Potential total (GWP-total),GWP-total,kg CO_(2)-Äq.,A1-A3,,553.0,0.553
cement_avg_D,d368f4bb-ae22-4e33-b9e4-22a7b27966c6,lcia,Global Warming Potential fossil fuels (GWP-fossil),GWP-fossil,kg CO_(2)-Äq.,A1-A3,,552.0,0.552
cement_avg_D,d368f4bb-ae22-4e33-b9e4-22a7b27966c6,lcia,Global Warming Potential biogenic (GWP-biogenic),GWP-biogenic,kg CO_(2)-Äq.,A1-A3,,0.809,0.000809
cement_avg_D,d368f4bb-ae22-4e33-b9e4-22a7b27966c6,lcia,Global Warming Potential luluc (GWP-luluc),GWP-luluc,kg CO_(2)-Äq.,A1-A3,,0.198,0.00019800000000000002
cement_avg_D,d368f4bb-ae22-4e33-b9e4-22a7b27966c6,lcia,Depletion potential of the stratospheric ozone layer (ODP),ODP,kg CFC11-Äq.,A1-A3,,1.64e-07,1.64e-10
cement_avg_D,d368f4bb-ae22-4e33-b9e4-22a7b27966c6,lcia,Acidification potential of land and water (AP),AP,mol H^(+)-Äq.,A1-A3,,0.801,0.0008010000000000001
cement_avg_D,d368f4bb-ae22-4e33-b9e4-22a7b27966c6,lcia,Eutrophication potential aquatic freshwater (EP-freshwater),EP-freshwater,kg PO_(4)-Äq.,A1-A3,,0.000613,6.13e-07
cement_avg_D,d368f4bb-ae22-4e33-b9e4-22a7b27966c6,lcia,Eutrophication potential aquatic marine (EP-marine),EP-marine,kg N-Äq.,A1-A3,,0.206,0.000206
cement_avg_D,d368f4bb-ae22-4e33-b9e4-22a7b27966c6,lcia,Eutrophication potential terrestrial (EP-terrestrial),EP-terrestrial,mol N-Äq.,A1-A3,,2.63,0.00263
cement_avg_D,d368f4bb-ae22-4e33-b9e4-22a7b27966c6,lcia,Formation potential of tropospheric ozone photochemical oxidants (POCP),POCP,kg NMVOC-Äq.,A1-A3,,0.643,0.000643
cement_avg_D,d368f4bb-ae22-4e33-b9e4-22a7b27966c6,lcia,Abiotic depletion potential for non fossil resources (ADPE),ADP-minerals&metals,kg Sb-Äq.,A1-A3,,4.39e-05,4.39e-08
cement_avg_D,d368f4bb-ae22-4e33-b9e4-22a7b27966c6,lcia,Abiotic depletion potential for fossil resources (ADPF),ADP-fossil,MJ,A1-A3,,1890.0,1.89
cement_avg_D,d368f4bb-ae22-4e33-b9e4-22a7b27966c6,lcia,Water use (WDP),WDP,m^(3) Welt-Äq. entzogen,A1-A3,,5.4,0.0054
cement_avg_D,d368f4bb-ae22-4e33-b9e4-22a7b27966c6,lcia,Incidence of disease due to PM emissions (PM),PM,Krankheitsfälle,A1-A3,,4.69e-06,4.69e-09
cement_avg_D,d368f4bb-ae22-4e33-b9e4-22a7b27966c6,lcia,Human exposure efficiency relative to U235 (IR),IRP,kBq U235-Äq.,A1-A3,,6.09,0.00609
aac_avg,e6819670-eb6c-4104-adea-f7f8bb2f49e6,exchange,Renewable primary energy as energy carrier (PERE),PERE,MJ,A1-A3,,140.367118950888,140.367118950888
aac_avg,e6819670-eb6c-4104-adea-f7f8bb2f49e6,exchange,Renewable primary energy as energy carrier (PERE),PERE,MJ,A4,,2.00279960485842,2.00279960485842
aac_avg,e6819670-eb6c-4104-adea-f7f8bb2f49e6,exchange,Renewable primary energy as energy carrier (PERE),PERE,MJ,A5,,31.5043590468996,31.5043590468996
aac_avg,e6819670-eb6c-4104-adea-f7f8bb2f49e6,exchange,Renewable primary energy as energy carrier (PERE),PERE,MJ,B1,,0.0,0.0
aac_avg,e6819670-eb6c-4104-adea-f7f8bb2f49e6,exchange,Renewable primary energy as energy carrier (PERE),PERE,MJ,C1,,0.204274129496856,0.204274129496856
aac_avg,e6819670-eb6c-4104-adea-f7f8bb2f49e6,exchange,Renewable primary energy as energy carrier (PERE),PERE,MJ,C2,,0.995072980430761,0.995072980430761
aac_avg,e6819670-eb6c-4104-adea-f7f8bb2f49e6,exchange,Renewable primary energy as energy carrier (PERE),PERE,MJ,C3,,1.90603985840547,1.90603985840547
aac_avg,e6819670-eb6c-4104-adea-f7f8bb2f49e6,exchange,Renewable primary energy as energy carrier (PERE),PERE,MJ,C4,,11.5787565208289,11.5787565208289
aac_avg,e6819670-eb6c-4104-adea-f7f8bb2f49e6,exchange,Renewable primary energy as energy carrier (PERE),PERE,MJ,D,,-5.97183957282839,-5.97183957282839
aac_avg,e6819670-eb6c-4104-adea-f7f8bb2f49e6,exchange,Renewable primary energy resources as material utilization (PERM),PERM,MJ,A1-A3,,31.29693506424,31.29693506424
aac_avg,e6819670-eb6c-4104-adea-f7f8bb2f49e6,exchange,Renewable primary energy resources as material utilization (PERM),PERM,MJ,A4,,0.0,0.0
aac_avg,e6819670-eb6c-4104-adea-f7f8bb2f49e6,exchange,Renewable primary energy resources as material utilization (PERM),PERM,MJ,A5,,-31.29693506424,-31.29693506424
aac_avg,e6819670-eb6c-4104-adea-f7f8bb2f49e6,exchange,Renewable primary energy resources as material utilization (PERM),PERM,MJ,B1,,0.0,0.0
